,POI,rating,category1,category2,latitude,longitude,price,city,street,postCode
28,Marcello’s pizzeria,4.0,pizza,Pizza,43.67783,-79.4425399,$$,Toronto,1163 Saint Clair Avenue W,M6E 1B2
29,King's Tacos,4.0,mexican,Mexican,43.67803,-79.4440599,$$,Toronto,1190 St Clair Avenue W,M6E 1B4
30,DeSotos Eatery,4.0,gastropubs,Gastropubs,43.6786263,-79.4396588,$$,Toronto,1079 St Clair Avenue West,M6H 3E4
31,Parallel,4.0,mediterranean,Mediterranean,43.6694450818033,-79.4385803863406,$$,Toronto,217 Geary Avenue,M6H 2C1
32,Piri Piri Grill,3.5,portuguese,Portuguese,43.6662515314375,-79.4497762620449,$$,Toronto,1444 Dupont Street,M6P 4H3
33,Balzac's Coffee Roasters,4.0,coffeeroasteries,Coffee Roasteries,43.670364,-79.448855,$$,Toronto,29 Powerhouse Street,M6H 0C7
34,Khmer Thai Restaurant,4.0,thai,Thai,43.67937,-79.43781,$$,Toronto,1018 St Clair Avenue W,M6E 1A4
35,The Burger's Priest,3.5,burgers,Burgers,43.666699590075,-79.3155846030585,$$,Toronto,1636 Queen Street E,M4L 1G3
36,Casa Di Giorgios,4.0,italian,Italian,43.6668499,-79.31518,$$,Toronto,1646 Queen St E,M4L 1G3
37,Lake Inez,4.5,bars,Bars,43.67234,-79.32064,$$$,Toronto,1471 Gerrard Street E,M4L 2A1
38,O Sushi,4.0,sushi,Sushi Bars,43.66654,-79.31693,$$,Toronto,6 Coxwell Avenue,M4L 3A7
39,Burrito Bandidos,3.5,mexican,Mexican,43.6665611,-79.3164215,$$,Toronto,1614 Queen Street E,M4L 1G4
40,Maha's,4.0,egyptian,Egyptian,43.67167,-79.32853,$$,Toronto,226 Greenwood Avenue,M4L 2R2
41,Lahore Tikka House,3.5,halal,Halal,43.67148,-79.32451,$$,Toronto,1365 Gerrard Street E,M4L 1Z3
42,Tea N Bannock,4.5,tradamerican,American (Traditional),43.671182,-79.3273557,$$,Toronto,1294 Gerrard Street E,M4L 1Y7
43,Eulalie's Corner Store,4.5,pubs,Pubs,43.6725388,-79.3217316,$$,Toronto,1438 Gerrard Street E,M4L 1Z8
44,Lazy Daisy's Cafe,4.0,cafes,Cafes,43.6726699,-79.3194,$$,Toronto,1515 Gerrard Street E,M4L 2A5
45,The Sidekick,4.5,cafes,Cafes,43.6645889,-79.3251114,$,Toronto,1374 Queen Street E,M4L 1C9
46,Regency Restaurant,4.0,indpak,Indian,43.67201,-79.32238,$$,Toronto,1423 Gerrard Street E,M4L 1Z7
47,Udupi Palace,3.5,indpak,Indian,43.67273,-79.3210299,$$,Toronto,1460 Gerrard Street E,M4L 2A3
48,British Style Fish & Chips,4.0,fishnchips,Fish & Chips,43.66861,-79.31723,$,Toronto,73 Coxwell Avenue,M4L 3B1
49,McDonald's,2.5,hotdogs,Fast Food,43.6650808,-79.3192955,$,Toronto,29-31 Woodward Avenue,M4L 2Y5
50,Sweet Bliss Baking Company,4.5,bakeries,Bakeries,43.66388,-79.32814,$,Toronto,1304 Queen Street E,M4L 1C4
51,Richmond Station,4.5,newcanadian,Canadian (New),43.6513729,-79.379285,$$$,Toronto,1 Richmond Street W,M5H 3W4
52,George Restaurant,4.5,newcanadian,Canadian (New),43.65337263523713,-79.37432933100068,$$$$,Toronto,111 Queen Street E,M5C 1S2
53,The Carbon Bar,4.0,bbq,Barbeque,43.653088,-79.374829,$$$,Toronto,99 Queen Street East,M5C 1S2
54,Pearl Diver,4.0,seafood,Seafood,43.65163,-79.37375,$$,Toronto,100 Adelaide Street E,M5C 1K9
55,Hendriks Restaurant & Bar,4.0,tradamerican,American (Traditional),43.653501,-79.380048,$$$,Toronto,218 Yonge Street,M5B 2H6
56,Terroni,3.5,italian,Italian,43.6508,-79.3756,$$,Toronto,57A Adelaide Street E,M5C 1K6
57,Gyu-Kaku Japanese BBQ,4.0,japanese,Japanese,43.6515,-79.37482,$$$,Toronto,81 Church Street,M5C 2G2
58,Beerbistro,4.0,bistros,Bistros,43.649467134996364,-79.3771696548727,$$,Toronto,18 King Street E,M5C 1C4
59,Cafe Oro Di Napoli,4.5,pizza,Pizza,43.6514257145518,-79.3721591972351,$$,Toronto,75 Jarvis Street,M5C 2H2
60,Eggspectation,4.0,breakfast_brunch,Breakfast & Brunch,43.6532721,-79.3812455,$$,Toronto,483 Bay Street,M5G 2C9
61,Pai Northern Thai Kitchen,4.5,thai,Thai,43.64784,-79.38872,$$,Toronto,18 Duncan Street,M5H 3G8
62,The Senator,4.0,breakfast_brunch,Breakfast & Brunch,43.65574,-79.37896,$$,Toronto,249 Victoria Street,M5B 1T8
63,Hokkaido Ramen Santouka,4.0,ramen,Ramen,43.656321731393,-79.377499580039,$$,Toronto,91 Dundas Street E,M5B 2C8
64,Carisma,4.0,italian,Italian,43.65032,-79.37596,$$$,Toronto,15 Toronto Street,M5C 2EC
65,King Taps,4.0,newcanadian,Canadian (New),43.6486379269,-79.3817439,$$,Toronto,100 King Street W,M5X 1A9
66,Sap,3.5,newcanadian,Canadian (New),43.651946,-79.381114,$$,Toronto,401 Bay Street,M5H 2Y4
67,Blaze Pizza,4.5,pizza,Pizza,43.6565313336776,-79.3800427473602,$$,Toronto,10 Dundas Street East,M5B 2G9
68,CRAFT Beer Market,3.5,beerbar,Beer Bar,43.650159,-79.378093,$$,Toronto,1 Adelaide Street E,M5C 2V9
69,The Poke Box,4.5,salad,Salad,43.6505,-79.37657,$$,Toronto,36 Toronto Street,M5C 2C5
70,Kintaro Izakaya,4.0,japanese,Japanese,43.66417,-79.38006,$$,Toronto,459 Church Street,M4Y 4C5
71,Hair of the Dog,4.0,pubs,Pubs,43.662946823805,-79.379592870241,$$,Toronto,425 Church Street,M4Y 2C3
72,Si Lom Thai Bistro,4.0,thai,Thai,43.66503,-79.38082,$$,Toronto,534 Church Street,M4Y
73,KINKA IZAKAYA ORIGINAL,4.0,japanese,Japanese,43.66042406856627,-79.37890046282942,$$,Toronto,398 Church Street,M5B 2A2
74,Storm Crow Manor,4.0,bars,Bars,43.6667489584503,-79.3816431239247,$$,Toronto,580 Church Street,M4Y 2E5
75,KINTON RAMEN,4.0,ramen,Ramen,43.6603113,-79.3789004,$$,Toronto,396 Church Street,M5B 2A2
76,Katsuya,4.5,japanese,Japanese,43.65995,-79.37882,$$,Toronto,66 Gerrard Street E,M5B 2M2
77,Kawa Sushi,3.5,sushi,Sushi Bars,43.66397,-79.37992,$$,Toronto,451 Church Street,M4Y 2C5
78,The Churchmouse: A Firkin Pub,3.5,pubs,Pubs,43.6646112519968,-79.3801465109641,$$,Toronto,475 Church Street,M4Y 2C5
79,The Keg Steakhouse + Bar,4.0,steak,Steakhouses,43.6668345,-79.3779253,$$$,Toronto,515 Jarvis Street,M4Y 2H7
80,Darvish Restaurant,4.0,persian,Persian/Iranian,43.66337,-79.38412,$$,Toronto,508 Yonge Street,M4Y 1X9
81,Torch Pressed Sushi,4.5,japanese,Japanese,43.6659093206019,-79.3808230385184,$$,Toronto,507 Church St,M4Y 2C9
82,Sambucas On Church,3.5,italian,Italian,43.66511,-79.38042,$$,Toronto,489 Church Street,M4Y 2C6
83,Fushimi,3.5,japanese,Japanese,43.66526,-79.38032,$$,Toronto,491 Church Street,M4Y 2C6
84,Mr.Tonkatsu,4.0,japanese,Japanese,43.66434,-79.38454,$$,Toronto,548 Yonge Street,M4Y 1Y8
85,The Blake House,4.0,pubs,Pubs,43.66452,-79.37718,$$,Toronto,449 Jarvis Street,M4Y 2G6
86,The House On Parliament,4.0,british,British,43.66359,-79.36794,$$,Toronto,454 Parliament Street,M5A 3A2
87,Blaze Pizza,4.5,pizza,Pizza,43.6565313336776,-79.3800427473602,$$,Toronto,10 Dundas Street East,M5B 2G9
88,Dzo Viet Eatery,4.0,vietnamese,Vietnamese,43.65445,-79.39178,$$,Toronto,308 Dundas Street W,M5T 1G4
89,Sansotei Ramen,4.0,ramen,Ramen,43.655,-79.38643,$$,Toronto,179 Dundas Street W,M5G 1Z8
90,Koh Lipe,4.0,thai,Thai,43.65586,-79.39347,$$,Toronto,35 Baldwin Street,M5T 1L1
91,Richmond Station,4.5,newcanadian,Canadian (New),43.6513729,-79.379285,$$$,Toronto,1 Richmond Street W,M5H 3W4
92,Omai Restaurant,4.0,japanese,Japanese,43.6561,-79.39234,$$,Toronto,3 Baldwin Street,M5T 1L1
93,Gyubee Japanese Grill - Dundas,4.5,japanese,Japanese,43.6551427,-79.3857634,$$$,Toronto,157 Dundas St W,M5B 1E4
94,Light Cafe,4.0,cafes,Cafes,43.65594,-79.393,$$,Toronto,23 Baldwin Street,M5T 1L1
95,The Queen And Beaver Public House,4.0,pubs,Pubs,43.65734,-79.38334,$$,Toronto,35 Elm Street,M5G 1H1
96,Mercatto,3.5,italian,Italian,43.66018257611177,-79.38755551742875,$$,Toronto,101 College Street,M5G 1L7
97,KINKA IZAKAYA ORIGINAL,4.0,japanese,Japanese,43.66042406856627,-79.37890046282942,$$,Toronto,398 Church Street,M5B 2A2
98,1915 Lan Zhou Ramen,4.0,chinese,Chinese,43.654965,-79.3866757,$,Toronto,185 Dundas Street W,M5G 1C7
99,Blaze Pizza,4.5,pizza,Pizza,43.6565313336776,-79.3800427473602,$$,Toronto,10 Dundas Street East,M5B 2G9
100,Saigon Lotus,4.5,vietnamese,Vietnamese,43.65449,-79.39928,$$,Toronto,6 St Andrew Street,M5T 1K6
101,Katsuya,4.5,japanese,Japanese,43.65995,-79.37882,$$,Toronto,66 Gerrard Street E,M5B 2M2
102,Ikkousha Ramen,4.5,ramen,Ramen,43.65024,-79.38873,$$,Toronto,249 Queen Street W,M5V 1Z4
103,Rolltation,4.0,sushi,Sushi Bars,43.65477,-79.3874,$$,Toronto,207 Dundas Street W,M5G 1C8
104,Midi Bistro,3.5,french,French,43.65582,-79.39224,$$,Toronto,168 McCaul Street,M5T 1W4
105,Hair of the Dog,4.0,pubs,Pubs,43.662946823805,-79.379592870241,$$,Toronto,425 Church Street,M4Y 2C3
106,Cactus Club Cafe,4.0,cocktailbars,Cocktail Bars,43.64950420768667,-79.38251803088575,$$,Toronto,77 Adelaide Street W,M5H 1P9
107,The Queen And Beaver Public House,4.0,pubs,Pubs,43.65734,-79.38334,$$,Toronto,35 Elm Street,M5G 1H1
108,Konjiki Ramen Downtown,4.0,ramen,Ramen,43.65729,-79.38358,$$,Toronto,41 Elm Street,M5G 1H1
109,Blaze Pizza,4.5,pizza,Pizza,43.6565313336776,-79.3800427473602,$$,Toronto,10 Dundas Street East,M5B 2G9
110,Adega Restaurante,4.0,portuguese,Portuguese,43.65732,-79.38323,$$$,Toronto,33 Elm St,M5G 1H1
111,Salad King Restaurant,3.5,thai,Thai,43.65766,-79.38164,$$,Toronto,340 Yonge Street,M5B 1R8
112,JOEY Eaton Centre,3.5,newcanadian,Canadian (New),43.6558708964233,-79.382009190213,$$,Toronto,1 Dundas St W,M5G 1Z3
113,Richmond Station,4.5,newcanadian,Canadian (New),43.6513729,-79.379285,$$$,Toronto,1 Richmond Street W,M5H 3W4
114,Donatello Restaurant,4.0,italian,Italian,43.657425,-79.383474,$$$,Toronto,37 Elm Street,M5G 1H1
115,Barberian's Steak House,4.0,steak,Steakhouses,43.6576,-79.38212,$$$$,Toronto,7 Elm Street,M5G 1H1
116,Thai On Yonge,4.0,thai,Thai,43.65855,-79.38205,$$,Toronto,370 Yonge Street,M5B 1S5
117,The Senator,4.0,breakfast_brunch,Breakfast & Brunch,43.65574,-79.37896,$$,Toronto,249 Victoria Street,M5B 1T8
118,DonDon Izakaya,3.0,japanese,Japanese,43.65571,-79.38459,$$,Toronto,130 Dundas Street West,M5G 1C3
119,Banh Mi Boys,4.0,vietnamese,Vietnamese,43.6590974,-79.3820781,$,Toronto,399 Yonge Street,M5B
120,Sansotei Ramen,4.0,ramen,Ramen,43.655,-79.38643,$$,Toronto,179 Dundas Street W,M5G 1Z8
121,Pai Northern Thai Kitchen,4.5,thai,Thai,43.64784,-79.38872,$$,Toronto,18 Duncan Street,M5H 3G8
122,Congee Queen,4.0,cantonese,Cantonese,43.658302,-79.381986,$$,Toronto,360 Yonge Street,M5B 1S5
123,St Louis Bar and Grill,3.0,chicken_wings,Chicken Wings,43.65653,-79.38268,$$,Toronto,595 Bay Street,M5G 2R3
124,Gyubee Japanese Grill - Dundas,4.5,japanese,Japanese,43.6551427,-79.3857634,$$$,Toronto,157 Dundas St W,M5B 1E4
125,Korean Village Restaurant,4.0,korean,Korean,43.66461,-79.41444,$$,Toronto,628 Bloor Street W,M6G 1K7
126,Daldongnae,4.5,korean,Korean,43.66434,-79.41566,$$$,Toronto,658 Bloor Street,M6G 1K9
127,Her Chef,4.5,asianfusion,Asian Fusion,43.66457,-79.41292,$$,Toronto,599 Bloor Street W,M6G 1K5
128,Buk Chang Dong Soon Tofu,4.0,korean,Korean,43.66363,-79.4169299,$$,Toronto,691 Bloor Street W,M6G 1L3
129,Hancook Cheese Dakgalbi,4.0,korean,Korean,43.66457,-79.41304,$$,Toronto,605 Bloor Street W,M6G 1K6
130,Tofu Village - House of Soon Tofu,4.0,korean,Korean,43.66371,-79.4165699,$$,Toronto,681 Bloor Street W,M6G 4B9
131,Yummy Korean Food Restaurant,4.0,korean,Korean,43.66469,-79.4140199,$,Toronto,620 Bloor Street W,M6G 1K7
132,KINKA IZAKAYA ANNEX,4.0,japanese,Japanese,43.665157,-79.410658,$$,Toronto,559 Bloor St W,M5S 1Y6
133,MaMa Chef Korean Restaurant,4.0,korean,Korean,43.66444,-79.41534,$$,Toronto,648 Bloor Street W,M6G 1K9
134,Insomnia Restaurant & Lounge,4.0,lounges,Lounges,43.665961,-79.411003,$$,Toronto,563 Bloor Street W,M5S 1Y6
135,Sunrise House,4.0,korean,Korean,43.66401,-79.41561,$$,Toronto,661 Bloor Street W,M6G 1L1
136,Paldo Gangsan,4.5,korean,Korean,43.664,-79.41743,$,Toronto,694 Bloor Street  W,M6G 1L4
137,Mapo Korean BBQ,4.0,bbq,Barbeque,43.6639096,-79.4177539,$$,Toronto,708 Bloor Street W,M6G 1L4
138,Arisu Korean BBQ & Sushi,3.5,japanese,Japanese,43.6651,-79.41265,$$,Toronto,584 Bloor Street W,M6G 1K4
139,Snakes & Lattes Annex,4.0,bars,Bars,43.665,-79.4132,$$,Toronto,600 Bloor Street W,M6G 1K4
140,KINTON RAMEN,3.5,ramen,Ramen,43.6642003,-79.416355,$$,Toronto,668 Bloor Street W,M6G 1L2
141,Rustle & Still Café,4.5,coffee,Coffee & Tea,43.66457,-79.41304,$,Toronto,605 Bloor Street W,M6G 1K6
142,Mr.Tonkatsu,4.0,japanese,Japanese,43.66541,-79.41074,$$,Toronto,520 Bloor Street W,M5S 1Y3
143,Her Father's Cider Bar & Kitchen,4.5,gastropubs,Gastropubs,43.66232,-79.40453,$$,Toronto,119 Harbord Street,M5S 1G7
144,Trattoria Nervosa,4.0,italian,Italian,43.67101,-79.39104,$$,Toronto,75 Yorkville Avenue,M5R 1B8
145,Black Camel,4.5,sandwiches,Sandwiches,43.677122232751,-79.389209714264,$,Toronto,4 Crescent Road,M4W 1S9
146,PLANTA Yorkville,4.0,vegetarian,Vegetarian,43.67028,-79.38945,$$,Toronto,1221 Bay Street,M5R 3P5
147,Portici,4.0,italian,Italian,43.67196,-79.39072,$$,Toronto,6 Scollard Street,M5R 1E9
148,Joso's,4.5,seafood,Seafood,43.6751099,-79.39607,$$$,Toronto,202 Davenport Road,M5R 1J2
149,Scaramouche Restaurant Pasta Bar & Grill,4.5,french,French,43.68155,-79.39991,$$$$,Toronto,1 Benvenuto Place,M4V 2L1
150,The Rebel House,3.5,pubs,Pubs,43.67763,-79.39008,$$,Toronto,1068 Yonge Street,M4W 2L4
151,Lee Chen Bistro,3.5,dimsum,Dim Sum,43.672372,-79.387436,$$,Toronto,813 Yonge Street,M4W 2G9
152,Playa Cabana,4.0,mexican,Mexican,43.6759577692695,-79.4011840224266,$$,Toronto,111 Dupont Street,M5R 1V4
153,Happy Burger,4.5,hotdog,Hot Dogs,43.6743209,-79.3880618,$$,Toronto,881 Yonge Street,M4W 2H2
154,Café Boulud,3.5,cafes,Cafes,43.6719213,-79.388922,$$$$,Toronto,60 Yorkville Avenue,M4W 0A4
155,Kiro Sushi,4.0,japanese,Japanese,43.6722662302551,-79.3874411896101,$$,Toronto,4 Collier Street,M4W 2G8
156,Gyubee Japanese Grill - Bloor,4.0,bbq,Barbeque,43.66716,-79.40047,$$$,Toronto,335 Bloor Street W,M5S 1W7
157,The Oxley,4.0,pubs,Pubs,43.67059,-79.39304,$$,Toronto,121 Yorkville Avenue,M5R 1C4
158,The Keg Steakhouse + Bar,4.0,steak,Steakhouses,43.6668345,-79.3779253,$$$,Toronto,515 Jarvis Street,M4Y 2H7
159,Utsav,4.0,fooddeliveryservices,Food Delivery Services,43.67094,-79.39086,$$,Toronto,69 Yorkville Ave,M5R 1B8
160,Storm Crow Manor,4.0,bars,Bars,43.6667489584503,-79.3816431239247,$$,Toronto,580 Church Street,M4Y 2E5
161,Bhoj Indian Cuisine,4.0,indpak,Indian,43.67277,-79.389,$$,Toronto,21 Davenport Road,M5R 1H2
162,Sassafraz,3.5,french,French,43.6702957,-79.3910686,$$$,Toronto,100 Cumberland Street,M5R 1A6
163,Joso's,4.5,seafood,Seafood,43.6751099,-79.39607,$$$,Toronto,202 Davenport Road,M5R 1J2
164,Ristorante Sotto Sotto,4.0,italian,Italian,43.67374,-79.39646,$$$,Toronto,120 Avenue Road,M5R 2H4
165,Osteria Giulia,4.5,italian,Italian,43.67431,-79.39668,$$$$,Toronto,134 Avenue Road,M5R 2H6
166,Playa Cabana,4.0,mexican,Mexican,43.6759577692695,-79.4011840224266,$$,Toronto,111 Dupont Street,M5R 1V4
167,Blu Ristorante,4.0,italian,Italian,43.67239,-79.396085,$$$,Toronto,90 Avenue Road,M5R 2H2
168,Scaramouche Restaurant Pasta Bar & Grill,4.5,french,French,43.68155,-79.39991,$$$$,Toronto,1 Benvenuto Place,M4V 2L1
169,The Oxley,4.0,pubs,Pubs,43.67059,-79.39304,$$,Toronto,121 Yorkville Avenue,M5R 1C4
170,Trattoria Nervosa,4.0,italian,Italian,43.67101,-79.39104,$$,Toronto,75 Yorkville Avenue,M5R 1B8
171,PLANTA Yorkville,4.0,vegetarian,Vegetarian,43.67028,-79.38945,$$,Toronto,1221 Bay Street,M5R 3P5
172,Le Paradis Brasserie Bistro,3.5,french,French,43.67506,-79.40025,$$,Toronto,166 Bedford Road,M5R 2K9
173,Figures,3.5,lounges,Lounges,43.67398,-79.39591,$$$,Toronto,137 Avenue Road,M5R 2H7
174,Gyubee Japanese Grill - Bloor,4.0,bbq,Barbeque,43.66716,-79.40047,$$$,Toronto,335 Bloor Street W,M5S 1W7
175,Sassafraz,3.5,french,French,43.6702957,-79.3910686,$$$,Toronto,100 Cumberland Street,M5R 1A6
176,Black Camel,4.5,sandwiches,Sandwiches,43.677122232751,-79.389209714264,$,Toronto,4 Crescent Road,M4W 1S9
177,Utsav,4.0,fooddeliveryservices,Food Delivery Services,43.67094,-79.39086,$$,Toronto,69 Yorkville Ave,M5R 1B8
178,Govinda's,4.0,vegetarian,Vegetarian,43.67684518603757,-79.3972886196434,$,Toronto,243 Avenue Road,M5R 2J6
179,Fieramosca,4.5,italian,Italian,43.66963,-79.39719,$$$,Toronto,36A Prince Arthur Avenue,M5R 1A9
180,Café Boulud,3.5,cafes,Cafes,43.6719213,-79.388922,$$$$,Toronto,60 Yorkville Avenue,M4W 0A4
181,Trattoria Nervosa,4.0,italian,Italian,43.67101,-79.39104,$$,Toronto,75 Yorkville Avenue,M5R 1B8
182,PLANTA Yorkville,4.0,vegetarian,Vegetarian,43.67028,-79.38945,$$,Toronto,1221 Bay Street,M5R 3P5
183,Eataly Toronto,3.5,italian,Italian,43.6696154170451,-79.3887948598768,$$,Toronto,55 Bloor Street W,M4W 1A6
184,Portici,4.0,italian,Italian,43.67196,-79.39072,$$,Toronto,6 Scollard Street,M5R 1E9
185,Lee Chen Bistro,3.5,dimsum,Dim Sum,43.672372,-79.387436,$$,Toronto,813 Yonge Street,M4W 2G9
186,Café Boulud,3.5,cafes,Cafes,43.6719213,-79.388922,$$$$,Toronto,60 Yorkville Avenue,M4W 0A4
187,Sassafraz,3.5,french,French,43.6702957,-79.3910686,$$$,Toronto,100 Cumberland Street,M5R 1A6
188,The Oxley,4.0,pubs,Pubs,43.67059,-79.39304,$$,Toronto,121 Yorkville Avenue,M5R 1C4
189,Cafe Landwer - Yonge & Bloor,4.0,breakfast_brunch,Breakfast & Brunch,43.67028,-79.38553,$$,Toronto,33 Bloor St E,M4W 3H1
190,Utsav,4.0,fooddeliveryservices,Food Delivery Services,43.67094,-79.39086,$$,Toronto,69 Yorkville Ave,M5R 1B8
191,Kiro Sushi,4.0,japanese,Japanese,43.6722662302551,-79.3874411896101,$$,Toronto,4 Collier Street,M4W 2G8
192,Tokyo Kitchen,4.0,japanese,Japanese,43.6690940080509,-79.3851124367706,$$,Toronto,20 Charles Street E,M4Y 1T1
193,holts café,3.5,cafes,Cafes,43.6703401,-79.3882622,$$,Toronto,50 Bloor Street West,M4W 1A1
194,The Pilot Tavern,3.5,bars,Bars,43.67104,-79.3883199,$$,Toronto,22 Cumberland St,M4W 1J5
195,Jack Astor’s,3.0,burgers,Burgers,43.6710004213944,-79.38660749,$$,Toronto,2 Bloor Street East,M4W 1A8
196,Joso's,4.5,seafood,Seafood,43.6751099,-79.39607,$$$,Toronto,202 Davenport Road,M5R 1J2
197,Mogouyan Hand-Pulled Noodles,4.0,noodles,Noodles,43.66943,-79.38671,$$,Toronto,760 Yonge Street,M4Y 2B6
198,Yorkville Crepes,3.5,creperies,Creperies,43.6721931,-79.3878664,$$,Toronto,18 Yorkville Avenue,M4W 3Y8
199,Storm Crow Manor,4.0,bars,Bars,43.6667489584503,-79.3816431239247,$$,Toronto,580 Church Street,M4Y 2E5
200,Pi Co,3.5,pizza,Pizza,43.670165,-79.389908,$$,Toronto,1200 Bay Street,M5R 2A5
201,Lady Marmalade,4.0,breakfast_brunch,Breakfast & Brunch,43.66319,-79.35134,$$,Toronto,265 Broadview Avenue,M4M 1J3
202,White Lily Diner,4.5,breakfast_brunch,Breakfast & Brunch,43.65881,-79.3511599,$$,Toronto,678 Queen Street E,M4M 1G8
203,Tabule Middle Eastern Cuisine,4.0,mideastern,Middle Eastern,43.659652,-79.346481,$$,Toronto,810 Queen Street  E,M4M 1H7
204,O’SOMAE,4.5,breakfast_brunch,Breakfast & Brunch,43.6653004,-79.3522633,$$,Toronto,357 Broadview Ave,M4M 2H1
205,Eastside Social,4.5,seafood,Seafood,43.661432,-79.339113,$$,Toronto,1008 Queen Street E,M4M 1K1
206,Wok & Roast Chinese BBQ,3.5,chinese,Chinese,43.66505,-79.35218,$,Toronto,349 Broadview Ave,M4M 2H1
207,Oji Seichi,4.0,ramen,Ramen,43.66509,-79.35265,$$,Toronto,354 Broadview Avenue,M4M 2G9
208,La Carnita,3.5,mexican,Mexican,43.6596718,-79.3473892,$$,Toronto,780 Queen Street E,M4M 1H4
209,The Comrade,4.0,lounges,Lounges,43.659392263038,-79.347948327349,$$,Toronto,758 Queen Street E,M4M 1H4
210,Mi Mi Restaurant,4.0,vietnamese,Vietnamese,43.66637,-79.34911,$,Toronto,688 Gerrard Street E,M4M 1Y3
211,Souk Tabule,4.5,mideastern,Middle Eastern,43.653832,-79.354442,$$,Toronto,494 Front Street E,M5A 1H7
212,Brickworks Cider House,4.0,cideries,Cideries,43.65882656696621,-79.3496389,$$,Toronto,709 Queen Street E,M4M 1H1
213,Dumpling House,3.5,dimsum,Dim Sum,43.6656887,-79.351097,$,Toronto,619 Gerrard Street E,M4M 1Y2
214,Batifole Restaurant,4.0,french,French,43.66678,-79.34733,$$$,Toronto,744 Gerrard Street E,M4M 1Y3
215,Roselle,4.5,bakeries,Bakeries,43.6535912,-79.3621063,$$,Toronto,362 King Street E,M5A 1K9
